customerkey,gender,name,city,state_code,state,zip_code,country,continent,birthday
301,female,lilly harding,wandearah east,sa,south australia,5523,australia,australia,1939-07-03
325,female,madison hull,mount budd,wa,western australia,6522,australia,australia,1979-09-27
554,female,claire ferres,winjallok,vic,victoria,3380,australia,australia,1947-05-26
786,male,jai poltpalingada,middle river,sa,south australia,5223,australia,australia,1957-09-17
1042,male,aidan pankhurst,tawonga south,vic,victoria,3698,australia,australia,1965-11-19
1086,male,hayden clegg,templers,sa,south australia,5371,australia,australia,1954-01-20
1133,male,nicholas caffyn,jubilee pocket,qld,queensland,4802,australia,australia,1969-11-22
1256,male,lincoln jenks,kullogum,qld,queensland,4660,australia,australia,1950-03-12
1314,male,isaac israel,edith river,nt,northern territory,852,australia,australia,1965-12-21
1568,male,luke virtue,kotta,vic,victoria,3565,australia,australia,1975-07-25
1585,female,anna hallstrom,green lake,vic,victoria,3401,australia,australia,1990-08-12
1626,female,mary leach,neds corner,vic,victoria,3496,australia,australia,1985-10-17
1642,female,ruby ambrose,tarlo,nsw,new south wales,2580,australia,australia,1965-03-03
1677,male,dean innes,ellesmere,qld,queensland,4610,australia,australia,1964-11-22
1817,female,laura le rennetel,beauchamp,vic,victoria,3579,australia,australia,1986-07-10
1863,female,chelsea watkins,nambour dc,qld,queensland,4560,australia,australia,1984-09-22
1945,male,angus beaurepaire,greenfields,wa,western australia,6210,australia,australia,1974-09-20
2238,female,isabelle cochran,brucknell,vic,victoria,3268,australia,australia,1969-10-31
2248,male,rory spargo,jung,vic,victoria,3401,australia,australia,1987-12-15
2435,female,lilian hall,blakebrook,nsw,new south wales,2480,australia,australia,1968-04-01
2469,female,phoebe kneeshaw,bidwill,qld,queensland,4650,australia,australia,1948-05-20
2512,female,matilda hake,bunkers hill,vic,victoria,3352,australia,australia,1992-11-13
2604,female,claudia davison,kubin village,qld,queensland,4875,australia,australia,1995-04-08
2751,male,nate lowes,callide,qld,queensland,4715,australia,australia,1979-08-20
2792,male,zachary perkin,bamganie,vic,victoria,3333,australia,australia,1976-08-25
2836,male,nicholas shand,gordonbrook,qld,queensland,4610,australia,australia,1959-02-23
3002,male,joshua aronson,smithton,tas,tasmania,7330,australia,australia,2000-11-08
3006,female,alica stuckey,hartley,nsw,new south wales,2790,australia,australia,1943-01-13
3203,male,aidan kane,argenton,nsw,new south wales,2284,australia,australia,1998-08-18
3270,male,hunter templeton,central tilba,nsw,new south wales,2546,australia,australia,1948-05-02
3327,female,alannah le messurier,konongwootong,vic,victoria,3315,australia,australia,1948-04-28
3410,male,will armitage,bollon,qld,queensland,4488,australia,australia,1950-05-12
3575,male,noah mcfarland,hoppers crossing,vic,victoria,3029,australia,australia,1942-03-04
3964,female,rose code,dixie,vic,victoria,3265,australia,australia,1944-02-16
4004,female,piper wrixon,wyalla plaza,qld,queensland,4350,australia,australia,1995-06-24
4174,female,rebecca yelverton,ocean reef,wa,western australia,6027,australia,australia,1990-10-05
4633,female,victoria brown,keysland,qld,queensland,4612,australia,australia,1964-01-08
4734,male,justin felan,parmelia,wa,western australia,6167,australia,australia,1946-02-13
4808,male,jamie evenden,haywards bay,nsw,new south wales,2530,australia,australia,1944-06-28
4811,male,brayden bulcock,widgiemooltha,wa,western australia,6443,australia,australia,1994-12-21
5097,female,bella foley,mount pleasant,qld,queensland,4740,australia,australia,1942-11-13
5445,male,jake clibborn,reefton,vic,victoria,3799,australia,australia,1952-09-10
5962,male,aiden dugdale,swan bay,nsw,new south wales,2324,australia,australia,1938-11-17
6193,female,lara cassidy,regency park,sa,south australia,5010,australia,australia,1945-12-27
6242,male,cody grosse,koomberkine,wa,western australia,6461,australia,australia,1964-02-10
6258,male,zac hull,sandford,vic,victoria,3312,australia,australia,1976-07-03
6308,male,taj sexton,kooreh,vic,victoria,3478,australia,australia,2001-02-15
6459,male,mitchell leigh,keilor downs,vic,victoria,3038,australia,australia,1942-05-24
6794,female,abby hyam,calder,tas,tasmania,7325,australia,australia,1971-02-06
7109,male,hamish bolton,lankeys creek,nsw,new south wales,2644,australia,australia,1979-11-15
7122,female,lara virtue,higginsville,wa,western australia,6443,australia,australia,1999-08-13
7313,female,chelsea keast,kanmantoo,sa,south australia,5252,australia,australia,1990-01-26
7398,male,jonathan thorpe,cooee bay,qld,queensland,4703,australia,australia,1945-06-10
7493,male,declan torrens,noorindoo,qld,queensland,4417,australia,australia,1978-07-20
7494,male,ben coventry,hyde park,qld,queensland,4812,australia,australia,1967-04-02
7566,male,william prenzel,killara,vic,victoria,3691,australia,australia,1993-07-01
7664,male,riley gaffney,canowie,sa,south australia,5419,australia,australia,1947-03-18
7700,male,lucas keenan,stanwell tops,nsw,new south wales,2508,australia,australia,1975-01-27
7725,female,anna prerauer,currimundi,qld,queensland,4551,australia,australia,1968-01-06
7783,female,charli gullett,mount wallace,vic,victoria,3342,australia,australia,1961-08-13
8098,female,alana belt,south greenough,wa,western australia,6528,australia,australia,1967-01-26
8181,female,amelie nairn,dartmouth,vic,victoria,3701,australia,australia,1985-07-08
8220,male,david blanch,vista,sa,south australia,5091,australia,australia,1945-07-29
8789,female,layla mackellar,kalkarindji,nt,northern territory,852,australia,australia,1999-07-13
8794,female,abbey lempriere,boulder creek,qld,queensland,4714,australia,australia,1962-11-02
8945,female,summer macmahon,warumbul,nsw,new south wales,2229,australia,australia,1939-06-28
9167,male,luke bushby,paracombe,sa,south australia,5132,australia,australia,1975-12-02
9184,male,sam zimpel,corunnun,vic,victoria,3249,australia,australia,1964-11-24
9360,male,mitchell adam,moparrabah,nsw,new south wales,2440,australia,australia,1955-01-30
9370,female,ruby lock,cook,act,australian capital territory,2614,australia,australia,1953-05-26
9389,female,eliza brophy,yearinan,nsw,new south wales,2357,australia,australia,1956-04-08
9456,male,ryder abdullah,claredale,qld,queensland,4807,australia,australia,1941-05-21
9812,female,kaitlyn morshead,minjary,nsw,new south wales,2720,australia,australia,1953-01-23
9915,female,ebony buxton,seppings,wa,western australia,6330,australia,australia,1991-11-10
10039,female,brianna hann,nikenbah,qld,queensland,4655,australia,australia,1947-10-22
10189,female,alexis birchell,forest reefs,nsw,new south wales,2798,australia,australia,1962-04-07
10276,male,angus bardolph,bateau bay,nsw,new south wales,2261,australia,australia,1972-11-01
10299,male,anthony macvitie,beelbangera,nsw,new south wales,2680,australia,australia,1937-05-27
10332,male,james burnage,palmyra,wa,western australia,6157,australia,australia,1937-03-26
10393,male,nicholas moncrieff,rosenthal heights,qld,queensland,4370,australia,australia,1981-11-29
10395,male,cameron dillon,stratherne,wa,western australia,6309,australia,australia,1996-02-25
10481,female,piper maudsley,cells river,nsw,new south wales,2324,australia,australia,1977-04-17
10504,male,daniel rusconi,south datatine,wa,western australia,6317,australia,australia,1980-10-22
10717,male,harrison ingram,maya,wa,western australia,6614,australia,australia,1981-06-16
11035,female,makayla meldrum,kings forest,nsw,new south wales,2487,australia,australia,1939-12-08
11090,female,scarlett scollen,silverwater,nsw,new south wales,2128,australia,australia,1953-01-20
11587,male,andrew fenbury,york,wa,western australia,6302,australia,australia,1977-11-09
11736,female,summer brownrigg,yarrabilba,qld,queensland,4207,australia,australia,1991-01-22
12084,male,toby chauvel,galga,sa,south australia,5308,australia,australia,1958-07-20
12160,male,jett creal,oakhurst,nsw,new south wales,2761,australia,australia,1956-09-05
12162,female,eva lavarack,whittington,vic,victoria,3219,australia,australia,1954-07-30
12207,male,aiden jull,ogmore,qld,queensland,4706,australia,australia,1955-11-30
12256,female,lilly lynn,rothbury,nsw,new south wales,2320,australia,australia,1991-03-07
12365,female,natalie lyon,steeple flat,nsw,new south wales,2631,australia,australia,1958-04-06
12385,female,lily gribble,overland corner,sa,south australia,5330,australia,australia,1981-06-10
12392,female,laura waterhouse,greenhill,sa,south australia,5140,australia,australia,1957-03-08
12649,female,rose raven,noble park north,vic,victoria,3174,australia,australia,1965-12-11
12729,male,xavier sturdee,stannum,nsw,new south wales,2371,australia,australia,1937-10-14
12810,male,patrick newbigin,deer park,vic,victoria,3023,australia,australia,1957-06-24
12859,male,koby rayment,nabawa,wa,western australia,6532,australia,australia,1942-04-29
12868,male,nathan greville,mallala,sa,south australia,5502,australia,australia,1961-03-12
